Банановая Армия
Батонные Бунтари
Блинные Боссы
Бобровые Бомбардировщики
Борщевые Бандиты
Булочные Бунтари
Вареничные Варвары
Ватрушковые Воины
Ведёрные Вихри
Вилочные Волки
Гвоздевые Гении
Гномские Громилы
Гномофонные Гангстеры
Гопникские Громы
Грелоковые Герои
Грибные Гладиаторы
Диванные Десантники
Дрелевые Демоны
Енотовые Элиты
Жвачные Жулики
Жуковые Жнецы
Зефирные Зомби
Зонтовые Защитники
Зубильные Звёзды
Кабачковые Киберы
Кактусовые Ковбои
Картофельные Крутые
Кексовые Корсары
Кирпичные Клоуны
Клоповые Кланы
Ковровые Коммандос
Котловые Крутые
Крановые Кракены
Кротовые Киберпанки
Кружковые Крузеры
Ламповые Легенды
Ластиковые Лорды
Леденцовые Лазеры
Ложечные Левиафаны
Луковые Лунатики
Майонезные Мафиози
Мармеладные Мстители
Масочные Монстры
Метеорные Мастера
Молотовые Мутанты
Мопсовые Метеоры
Мухоморные Музыканты
Носковые Ниндзя
Огуречные Орлы
Ореховые Отморозки
Пельменные Пираты
Пенные Повстанцы
Пингвиньи Пантеры
Пирожные Панк-рокеры
Плавковые Призраки
Подушечные Пираты
Пылесосные Панки
Пряничные Профи
Ракетные Ретро
Рогаликовые Разбойники
Ролловые Ракеты
Салатные Самураи
Сардельковые Снайперы
Сковородные Супермены
Сметанные Секретные
Снеговичные Сорвиголовы
Сосисочные Суперзвёзды
Стаканные Сталкеры
Тапочные Титаны
Таракановые Тактики
Творожные Терминаторы
Тележные Тигры
Термосные Танкисты
Тортные Торнадо
Тостерные Трансформеры
Трубные Трубадуры
Тушёночные Титаны
Утюжные Убийцы
Фонарные Фантомы
Халатные Хакеры
Хлебушковые Хулиганы
Чайниковые Чемпионы
Чашковые Чудовища
Чебуречные Чародеи
Чесночные Чёртики
Шарфовые Штурмовики
Швабровые Шаманы
Шоколадные Штормы
Штанные Шпионы
Шурупные Шоумены
Щёточные Щитоносцы
Эклеровые Экстремалы
Яблочные Ястребы
Яичниковые Ядерщики
Якорные Ягуары
Ярлыковые Янычары
Ящичные Ядерные
Ящеричные Яркие
Bubble Гвардия
Пельменные Плазмы
